epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.66841,1.74366,5.44513,1.23833,0,0,0,0,0.39846,3.77622,0.79348,2.919e-05,2.919e-05,2.919e-05
2,6.74073,1.31179,4.98453,1.06065,0,0,0,0,0.27754,3.77279,0.78013,6.13115e-05,6.13115e-05,6.13115e-05
3,9.80229,0.93347,4.71192,0.916,0,0,0,0,0.29294,3.74805,0.77973,9.2112e-05,9.2112e-05,9.2112e-05
4,12.9903,0.95577,4.50029,0.92463,0.00812,0.1,0.00971,0.00922,0.30363,3.71696,0.77298,0.000121591,0.000121591,0.000121591
5,16.1322,0.91631,4.34724,0.96778,0.04909,0.4625,0.09008,0.08473,0.33554,3.68316,0.76756,0.00014975,0.00014975,0.00014975
6,19.3148,0.86316,4.02444,0.96154,0.03962,0.75,0.12133,0.10991,0.47453,3.56142,0.78764,0.000176587,0.000176587,0.000176587
7,22.3811,0.8817,3.81629,0.96446,0.03434,0.8,0.09931,0.08943,0.43108,3.47279,0.80417,0.000202103,0.000202103,0.000202103
8,25.567,0.80713,3.72478,0.92617,0.05922,0.925,0.17319,0.15599,0.40173,3.35466,0.80393,0.000226298,0.000226298,0.000226298
9,28.8137,0.78873,3.72479,0.93553,0.05487,0.975,0.24594,0.22088,0.41277,3.12858,0.80389,0.000249173,0.000249173,0.000249173
10,31.9111,0.79308,3.44778,0.93236,0.02936,0.95,0.22474,0.20203,0.41047,3.03359,0.80248,0.000270726,0.000270726,0.000270726
11,35.0771,0.79665,3.45579,0.94917,0.02782,1,0.25554,0.22423,0.46426,2.86031,0.82262,0.000290958,0.000290958,0.000290958
12,38.191,0.82231,3.54649,0.95094,0.20778,0.7375,0.29421,0.26749,0.43346,2.71252,0.81995,0.000309869,0.000309869,0.000309869
13,41.3657,0.73765,3.44349,0.91158,0.07674,1,0.27761,0.25783,0.40477,2.59599,0.82135,0.000317921,0.000317921,0.000317921
14,44.4337,0.7042,3.4227,0.90913,0.80807,0.1857,0.33115,0.30925,0.39296,2.49105,0.82267,0.000309664,0.000309664,0.000309664
15,47.6071,0.76302,3.3043,0.92833,0.62067,0.29176,0.34823,0.3232,0.33418,2.2919,0.82031,0.000301408,0.000301408,0.000301408
16,50.6629,0.76856,3.22644,0.91559,0.29862,0.52526,0.33178,0.3082,0.35122,2.1248,0.82149,0.000293151,0.000293151,0.000293151
17,53.8593,0.6639,3.17367,0.9227,0.32673,0.6375,0.39117,0.36949,0.34536,2.04364,0.82282,0.000284894,0.000284894,0.000284894
18,56.9153,0.67272,3.10741,0.92096,0.4146,0.5106,0.3532,0.33174,0.31446,2.05627,0.82459,0.000276638,0.000276638,0.000276638
19,60.0806,0.66068,3.14872,0.88504,0.44272,0.58216,0.34971,0.33304,0.29859,2.04222,0.82878,0.000268381,0.000268381,0.000268381
20,63.2487,0.71299,3.22081,0.95216,0.36396,0.68528,0.41149,0.38813,0.31478,1.98725,0.83605,0.000260125,0.000260125,0.000260125
21,66.4455,0.73298,3.1677,0.91318,0.37722,0.61348,0.42044,0.39284,0.34521,1.98346,0.84186,0.000251868,0.000251868,0.000251868
22,69.6555,0.67677,3.13212,0.8789,0.24212,0.75,0.38978,0.36371,0.33332,1.94372,0.83708,0.000243611,0.000243611,0.000243611
23,72.7742,0.69562,3.06112,0.91837,0.22415,0.75,0.40119,0.37314,0.34307,1.90977,0.83279,0.000235355,0.000235355,0.000235355
24,75.9745,0.6537,3.03488,0.8991,0.24864,0.81732,0.42425,0.39392,0.33021,1.8316,0.83156,0.000227098,0.000227098,0.000227098
25,79.1026,0.64592,2.86712,0.92048,0.23819,0.74296,0.40344,0.38628,0.31352,1.8241,0.82599,0.000218842,0.000218842,0.000218842
26,82.3518,0.59102,2.89599,0.88552,0.23871,0.72784,0.44986,0.43361,0.3028,1.8386,0.82729,0.000210585,0.000210585,0.000210585
27,85.6024,0.56382,2.79418,0.84419,0.25078,0.84039,0.44986,0.43063,0.29819,1.74767,0.82674,0.000202328,0.000202328,0.000202328
28,88.706,0.60983,2.87127,0.86592,0.25998,0.83364,0.48154,0.46534,0.30012,1.74798,0.82834,0.000194072,0.000194072,0.000194072
29,91.9332,0.59919,2.88065,0.89549,0.23854,0.89293,0.49039,0.47667,0.29377,1.73517,0.83026,0.000185815,0.000185815,0.000185815
